Дата	Максимальная температура	Минимальная температура	Средняя температура	Атмосферное давление	Скорость ветра	Осадки	Эффективная температура
31.01.2016	2.7	0.6	1.4	984.0	5	0	-3.2
01.02.2016	1.4	-1.5	0.4	982.5	3	5	-3.0
02.02.2016	1.7	-2.8	-0.4	986.8	4	0	-4.6
03.02.2016	3.2	-1.1	1.9	978.5	3	1	-1.4
04.02.2016	2.3	-0.3	1.4	983.4	4	0	-2.7
05.02.2016	0.7	-3.9	-1.7	990.1	2	0	-4.8
06.02.2016	1.0	-3.6	-1.3	996.5	2	0	-4.4
07.02.2016	-0.8	-5.2	-2.7	1004.6	2	0	-6.0
08.02.2016	-1.4	-6.1	-3.8	1003.4	4	0	-8.5
09.02.2016	0.4	-6.0	-3.0	1000.7	5	0	-8.3
10.02.2016	2.2	-3.1	0.7	1001.3	5	1	-4.1
11.02.2016	0.6	-3.3	-1.7	1002.6	5	0	-6.8
12.02.2016	1.0	-3.1	-1.2	999.5	4	2	-5.5
13.02.2016	1.5	-2.1	0.1	1003.2	3	1	-3.4
14.02.2016	1.1	-4.0	-1.8	995.6	3	0	-5.5
15.02.2016	2.6	-0.7	1.9	995.5	3	3	-1.3
16.02.2016	3.3	0.3	1.7	994.1	4	12	-2.2
17.02.2016	-1.1	-4.4	-3.1	1006.7	4	1	-7.8
18.02.2016	-2.9	-7.3	-5.8	1013.4	2	0	-9.4
19.02.2016	-2.0	-7.4	-3.6	1013.6	2	0	-6.9
20.02.2016	1.0	-7.6	-3.6	1009.9	1	0	-6.3
21.02.2016	-5.7	-14.6	-8.2	996.7	2	0	-11.9
22.02.2016	2.4	-8.6	-2.7	982.8	5	2	-7.8
23.02.2016	3.7	-1.5	2.0	985.4	3	6	-1.4
24.02.2016	2.9	-0.6	1.0	988.4	1	1	-1.0
25.02.2016	0.4	-1.0	-0.2	985.8	2	8	-3.0
26.02.2016	2.2	-4.5	-1.6	996.0	2	0	-4.7
27.02.2016	1.4	-4.2	-0.4	997.8	3	5	-3.9
28.02.2016	2.1	-8.2	-3.1	1008.9	2	0	-6.4
29.02.2016	0.8	-5.0	-1.3	1007.9	3	3	-5.0
01.03.2016	-2.0	-11.7	-4.4	1008.9	3	0	-8.4
02.03.2016	1.9	-2.8	1.1	990.6	4	16	-2.9
03.03.2016	3.1	0.5	1.6	991.7	2	0	-1.1
04.03.2016	1.9	0.3	1.1	992.5	2	4	-1.6
05.03.2016	1.3	0.5	0.9	990.3	2	5	-1.8
06.03.2016	2.3	0.8	1.4	995.3	1	1	-0.6
07.03.2016	1.8	0.7	1.2	1002.7	2	0	-1.5
08.03.2016	4.9	0.8	2.9	1007.1	2	0	0.4
09.03.2016	9.8	2.0	4.9	1007.1	1	0	3.1
10.03.2016	8.0	-0.7	3.5	1007.6	1	0	1.5
11.03.2016	9.1	0.3	3.6	1006.3	1	0	1.5
12.03.2016	5.0	-0.2	2.1	1004.4	2	0	-0.6
13.03.2016	4.7	-2.1	1.0	1003.5	3	0	-2.8
14.03.2016	2.5	-3.4	-0.6	1001.5	3	0	-4.6
15.03.2016	2.1	-6.9	-2.6	1004.4	3	0	-6.8
16.03.2016	1.9	-7.2	-1.1	993.5	3	0	-4.9
17.03.2016	4.3	-1.2	1.9	983.1	3	0	-1.5
18.03.2016	1.9	-7.5	-2.1	972.4	3	1	-6.0
19.03.2016	-2.8	-11.4	-7.1	978.9	2	0	-10.9
20.03.2016	-1.9	-11.6	-7.6	984.5	2	0	-11.3
21.03.2016	-0.7	-12.9	-6.0	988.4	2	0	-9.7
22.03.2016	-0.8	-7.3	-3.5	986.3	2	3	-6.7
23.03.2016	2.1	-4.2	-2.1	991.4	2	4	-5.5
24.03.2016	-0.1	-5.9	-2.4	994.0	2	0	-5.9
25.03.2016	-0.1	-4.0	-1.8	990.0	3	8	-5.5
26.03.2016	2.8	-1.4	0.8	992.7	2	0	-2.1
27.03.2016	8.0	-0.7	3.1	996.5	3	0	-0.7
28.03.2016	9.7	-4.4	2.5	997.2	2	0	-0.9
29.03.2016	6.7	-3.7	2.1	997.2	2	0	-0.9
30.03.2016	6.8	0.1	3.0	999.1	2	0	0.4
05.04.2016	8.5	-1.5	4.7	994.4	3	0	1.0
06.04.2016	10.6	-4.1	4.2	995.0	2	0	1.2
07.04.2016	11.8	4.3	8.1	993.7	2	0	5.6
08.04.2016	9.9	5.2	6.9	997.2	1	1	5.6
18.04.2016	20.5	3.3	11.9	992.1	4	8	8.7
19.05.2016	20.6	15.3	17.2	992.5	2	0	16.2
31.10.2016	0.2	-2.3	-1.3	991.7	2	1	-4.3
01.11.2016	-1.6	-3.7	-2.8	999.0	2	1	-6.0
02.11.2016	-1.9	-4.7	-3.2	999.8	2	0	-6.5
03.11.2016	0.7	-3.0	-0.6	989.2	4	6	-4.8
04.11.2016	1.6	-2.7	-0.2	989.2	3	2	-3.8
05.11.2016	-2.3	-3.8	-2.9	996.8	3	1	-6.8
06.11.2016	-0.1	-6.6	-2.4	998.7	2	1	-5.6
07.11.2016	5.6	-1.9	2.2	985.1	3	11	-1.0
08.11.2016	6.9	-0.3	3.1	989.4	3	2	0.0
09.11.2016	2.8	-4.2	-0.4	1000.0	2	0	-3.4
10.11.2016	10.5	-4.2	3.7	989.2	3	7	0.7
12.11.2016	-3.9	-6.4	-5.1	995.5	3	5	-9.2
13.11.2016	-3.3	-6.8	-4.8	1004.4	2	0	-8.3
14.11.2016	-4.0	-7.6	-4.5	1008.9	1	0	-7.3
15.11.2016	-3.2	-4.6	-3.9	1011.8	1	0	-6.6
16.11.2016	-3.1	-4.5	-3.8	1009.9	2	0	-7.2
17.11.2016	-4.1	-6.1	-5.2	1008.0	3	0	-9.3
18.11.2016	-3.1	-6.3	-4.8	1010.5	4	0	-9.5
19.11.2016	2.0	-4.0	-0.3	1016.1	5	0	-5.2
20.11.2016	-1.1	-5.2	-3.1	1020.7	5	0	-8.4
21.11.2016	-3.2	-8.5	-6.5	1024.4	4	0	-11.5
22.11.2016	-3.8	-10.6	-7.7	1023.0	5	0	-13.5
23.11.2016	-3.2	-9.4	-6.8	1015.9	5	0	-12.6
24.11.2016	-3.5	-9.6	-6.3	1002.0	4	0	-11.3
25.11.2016	2.0	-6.3	-0.2	991.9	3	0	-3.9
26.11.2016	0.2	-1.4	-0.7	986.4	3	1	-4.4
27.11.2016	2.0	-1.3	1.0	975.4	4	3	-3.1
28.11.2016	0.3	-3.4	-0.7	978.2	1	2	-3.0
29.11.2016	-7.3	-10.5	-9.0	989.5	1	2	-12.2
30.11.2016	-10.6	-17.1	-13.3	996.5	2	1	-17.4
01.12.2016	-7.9	-17.3	-11.4	991.5	3	1	-16.1
02.12.2016	-4.5	-10.0	-5.9	987.9	3	2	-10.1
03.12.2016	-4.3	-7.5	-5.7	989.4	1	1	-8.5
04.12.2016	-4.4	-8.0	-6.3	995.1	1	1	-9.2
05.12.2016	-2.7	-8.0	-6.4	989.6	4	3	-11.3
06.12.2016	0.3	-13.4	-6.6	984.3	4	3	-11.6
07.12.2016	-9.8	-14.7	-12.7	999.9	3	0	-17.5
08.12.2016	-4.9	-14.6	-6.6	986.5	3	4	-10.8
09.12.2016	-2.1	-10.0	-5.3	979.0	2	1	-8.7
10.12.2016	0.6	-7.4	-2.9	976.8	3	1	-6.8
11.12.2016	-6.2	-12.8	-8.1	984.9	2	0	-11.8
12.12.2016	-10.9	-18.7	-13.8	989.2		0	
13.12.2016	-11.3	-20.5	-15.3	996.4	1	1	-18.9
14.12.2016	-10.9	-21.3	-16.8	996.1	2	1	-21.2
15.12.2016	-10.0	-14.2	-11.4	1002.0	2	2	-15.4
16.12.2016	-13.6	-20.6	-17.3	1010.4	1	0	-21.1
17.12.2016	-4.9	-19.4	-10.1	1005.6	2	0	-14.0
18.12.2016	-0.2	-7.8	-1.8	998.2	3	2	-5.5
19.12.2016	-0.9	-2.6	-1.7	995.3	3	1	-5.5
20.12.2016	-3.8	-16.7	-12.0	1011.0	3	0	-16.8
21.12.2016	-0.3	-16.7	-3.0	1005.8	2	2	-6.2
22.12.2016	-0.6	-1.9	-1.4	1006.7	2	0	-4.4
23.12.2016	-2.0	-4.1	-3.1	1003.8	2	0	-6.3
24.12.2016	-0.7	-4.2	-1.8	999.8	2	1	-4.8
25.12.2016	-0.6	-2.5	-1.6	995.5	4	0	-6.0
26.12.2016	-1.0	-2.8	-1.9	993.1	4	0	-6.3
27.12.2016	0.8	-1.6	-0.2	982.4	3	7	-3.7
28.12.2016	0.5	-2.5	-1.0	990.5	1	4	-3.3
29.12.2016	-2.1	-7.4	-4.2	1008.0	2	6	-7.5
30.12.2016	-3.2	-7.8	-4.2	1006.2	3	0	-8.2
01.01.2017	1	0.1	0.9	977.9	3	0	-2
02.01.2017	1.9	0.1	0.9	977.9	3	0	-2.5
03.01.2017	0.0	-9.7	-3.9	977.9	2	3	-7.2
04.01.2017	-5.0	-12.2	-8.2	982.2	2	1	-11.9
05.01.2017	-0.9	-12.1	-3.8	983.2	3	0	-7.7
06.01.2017	-13.6	-24.1	-19.6	1002.2	3	5	-24.8
07.01.2017	-21.4	-24.6	-22.8	1004.2	3	1	-28.2
08.01.2017	-16.0	-22.2	-19.1	1005.0	3	0	-24.3
09.01.2017	-14.7	-18.8	-17.4	1005.5	1	1	-21.2
10.01.2017	-8.8	-18.9	-12.4	1005.1	2	0	-16.5
11.01.2017	-9.6	-13.8	-10.9	1005.2	2	0	-14.8
12.01.2017	0.6	-10.9	-7.1	993.6	4	1	-12.0
13.01.2017	0.1	-5.8	-3.4	990.5	1	5	-6.0
14.01.2017	-2.8	-6.2	-4.2	997.1	5	3	-9.5
15.01.2017	-2.4	-4.7	-3.2	997.9	5	1	-8.4
16.01.2017	-2.6	-4.9	-3.4	1003.8	2	4	-6.6
17.01.2017	-2.5	-8.0	-3.8	1010.1	1	0	-6.4
18.01.2017	-4.3	-10.1	-7.5	1013.8	1	0	-10.5
19.01.2017	-4.3	-11.0	-5.9	1005.3	3	0	-10.1
20.01.2017	-0.1	-7.0	-3.7	994.0	3	0	-7.7
21.01.2017	-1.5	-7.9	-5.1	991.6	2	0	-8.6
22.01.2017	-1.5	-10.6	-5.7	996.9	3	0	-9.9
23.01.2017	1.5	-4.1	-0.6	994.2	3	1	-4.2
24.01.2017	0.1	-1.7	-0.8	987.3	3	0	-4.4
25.01.2017	-3.6	-17.0	-10.1	998.2	4	1	-15.3
26.01.2017	-12.1	-21.0	-17.2	1005.6	2	0	-21.6
27.01.2017	-4.5	-17.4	-7.4	998.4	2	2	-11.0
28.01.2017	-3.5	-9.8	-5.7	1006.7	2	1	-9.2
29.01.2017	-13.6	-20.6	-17.6	1016.5	1	0	-21.4
30.01.2017	-14.2	-22.2	-18.2	1015.9	2	0	-22.7
31.01.2017	-10.6	-18.7	-13.9	1006.6	3	1	-18.8
01.02.2017	-3.0	-11.6	-5.8	999.1	3	1	-10.0
02.02.2017	-3.7	-15.9	-9.2	1004.9	2	0	-13.1
03.02.2017	-7.9	-16.4	-12.3	1006.1	1	0	-15.8
04.02.2017	-8.0	-14.7	-11.2	998.0	3	1	-15.9
05.02.2017	-8.4	-13.6	-10.7	995.4	2	1	-14.7
06.02.2017	-11.6	-18.8	-15.0	1008.6	3	0	-20.0
07.02.2017	-16.8	-23.0	-20.6	1018.7	3	0	-25.9
08.02.2017	-12.8	-24.4	-17.6	1019.7	2	0	-22.1
09.02.2017	-6.2	-16.2	-9.2	1017.6	1	0	-12.3
10.02.2017	-1.4	-7.3	-3.1	1015.5	2	0	-6.3
11.02.2017	0.2	-3.3	-1.6	1014.9	2	0	-4.8
12.02.2017	-2.3	-5.5	-3.8	1013.0	2	1	-7.2
13.02.2017	-5.5	-13.4	-9.1	1008.3	3	1	-13.6
14.02.2017	2.9	-8.5	-1.9	986.3	5	5	-7.0
15.02.2017	-0.4	-5.8	-2.5	1000.3	4	2	-7.2
16.02.2017	-4.1	-12.1	-7.8	1009.4	2	0	-11.6
17.02.2017	-2.8	-12.5	-6.6	997.1	4	1	-11.5
18.02.2017	2.8	-4.5	0.9	990.3	3	2	-2.5
19.02.2017	2.0	-0.3	0.9	992.9	4	0	-3.3
20.02.2017	2.4	0.7	1.6	985.7	5	0	-3.1
21.02.2017	1.1	-0.1	0.4	973.2	5	6	-4.4
22.02.2017	2.2	-4.6	-0.9	975.7	2	5	-3.8
23.02.2017	0.7	-5.0	-1.7	973.1	3	3	-5.4
24.02.2017	2.8	-2.1	1.3	973.2	4	1	-2.7
25.02.2017	2.8	-2.7	-0.3	978.4	3	1	-4.1
26.02.2017	-0.9	-5.1	-2.9	987.4	4	0	-7.6
27.02.2017	2.7	-3.7	0.7	985.9	3	2	-2.7
28.02.2017	2.6	-1.8	0.8	999.5	2	0	-2.1
01.03.2017	3.9	1.3	2.8	996.4	5	0	-1.8
02.03.2017	2.7	1.0	1.9	991.5	4	0	-2.0
03.03.2017	4.0	0.6	1.6	989.6	3	1	-1.7
04.03.2017	4.1	-0.3	1.7	997.1	3	0	-1.7
05.03.2017	3.4	-0.9	1.9	995.3	4	0	-2.2
06.03.2017	3.7	2.1	2.9	994.8	3	0	-0.3
07.03.2017	6.9	1.2	3.3	1002.4	3	0	0.0
08.03.2017	6.9	-0.6	2.4	1010.7	2	0	-0.3
09.03.2017	7.1	-0.5	2.5	1011.1	3	0	-0.9
10.03.2017	6.1	-1.0	2.0	1006.3	4	0	-2.2
11.03.2017	6.5	-0.6	2.1	1004.6	3	0	-1.4
12.03.2017	5.8	-3.2	0.5	1007.2	2	0	-2.6
13.03.2017	5.9	-5.1	0.1	1007.0	1	0	-2.4
14.03.2017	7.1	-6.4	0.5	1006.6	1	0	-2.0
15.03.2017	7.5	-3.0	2.3	999.4	3	0	-1.3
16.03.2017	4.6	1.7	2.6	991.6	3	1	-0.6
17.03.2017	3.5	1.3	2.2	994.2	1	3	0.3
18.03.2017	4.7	1.1	2.4	990.5	3	1	-0.8
19.03.2017	3.2	0.6	2.1	986.1	3	2	-1.1
20.03.2017	4.3	2.1	3.2	987.7	3	4	0.2
21.03.2017	6.7	3.3	4.4	994.5	3	3	1.6
22.03.2017	11.2	-0.5	6.2	999.8	2	0	3.8
23.03.2017	9.7	1.1	5.3	1001.1	2	2	2.8
24.03.2017	10.1	-1.6	3.8	999.1	2	0	1.1
25.03.2017	2.6	-1.8	0.0	993.5	2	2	-3.1
26.03.2017	7.1	-4.2	1.8	993.8	2	0	-1.4
27.03.2017	3.2	-1.0	0.2	977.0	4	9	-3.9
28.03.2017	4.0	-1.9	0.1	976.6	3	5	-3.4
29.03.2017	1.7	-4.5	-1.6	989.9	3	0	-5.7
30.03.2017	1.2	-7.3	-2.6	996.8	3	0	-6.8
31.03.2017	2.5	-7.5	-1.4	1003.3	3	0	-5.4
01.04.2017	4.5	-1.1	0.6	1003.4	2	2	-2.5
02.04.2017	6.3	-1.3	2.8	998.2	4	1	-1.0
03.04.2017	9.9	0.8	4.1	998.2	2	9	1.8
04.04.2017	8.6	0.1	4.1	1008.9	2	2	1.3
28.04.2017	13.3	7.5	10.6	999.6		0	
01.11.2017	1.6	-2.8	-0.6	979.6	4	2	-5.0
02.11.2017	0.8	-5.4	-2.7	984.6	2	0	-6.0
03.11.2017	1.3	-6.9	-2.0	989.0	1	0	-4.4
04.11.2017	1.7	-1.7	-0.3	998.2	1	0	-2.5
05.11.2017	3.2	-2.3	1.2	1005.2	2	0	-1.5
06.11.2017	5.8	0.4	2.3	1009.3	2	0	-0.3
07.11.2017	2.1	-0.4	1.2	1009.9	2	0	-1.5
08.11.2017	6.7	-2.7	1.4	1012.3	1	0	-0.7
09.11.2017	5.3	-4.6	-0.7	1010.8	2	0	-3.6
10.11.2017	0.9	-2.4	0.2	1002.9	3	0	-3.2
11.11.2017	3.4	0.4	2.4	996.1	3	1	-0.7
12.11.2017	3.3	0.7	1.8	989.1	3	8	-1.4
13.11.2017	5.3	-0.6	1.4	995.0	2	0	-1.3
14.11.2017	7.7	-0.2	2.7	991.6	4	16	-1.1
15.11.2017	2.1	-1.2	0.4	1001.2	2	0	-2.5
16.11.2017	4.6	-1.1	2.3	997.6	3	2	-0.9
17.11.2017	3.5	-0.2	1.0	1003.2	3	1	-2.4
18.11.2017	3.1	-0.3	1.4	999.7	3	0	-1.9
19.11.2017	1.7	0.3	0.9	993.2	3	3	-2.4
20.11.2017	1.9	0.1	1.1	992.2	1	3	-1.0
21.11.2017	0.2	-0.2	-0.1	984.9	2	15	-2.9
22.11.2017	-0.3	-2.3	-1.1	986.4	3	13	-4.7
23.11.2017	-2.9	-5.9	-4.4	996.0	4	0	-9.0
24.11.2017	-4.8	-5.9	-5.2	1004.6	1	1	-7.9
25.11.2017	-5.0	-5.8	-5.4	1004.1	1	0	-8.2
26.11.2017	-5.0	-7.7	-6.0	1008.3	3	0	-10.1
27.11.2017	-4.4	-7.9	-6.5	1009.8	3	0	-10.7
28.11.2017	-5.4	-9.5	-7.1	1008.7	3	0	-11.3
29.11.2017	-3.6	-10.8	-5.7	1008.1	3	0	-9.8
30.11.2017	-2.4	-4.2	-3.1	1009.1	4	0	-7.6
01.12.2017	-0.3	-2.7	-1.3	1006.9	5	1	-6.2
02.12.2017	0.9	-0.6	0.4	1004.0	4	11	-3.6
03.12.2017	1.0	0.1	0.5	1002.4	2	8	-2.2
04.12.2017	2.1	-0.7	0.9	990.3	4	5	-3.1
05.12.2017	-1.0	-2.6	-1.8	990.9	2	0	-4.9
06.12.2017	-1.3	-3.2	-2.5	986.6	2	1	-5.6
07.12.2017	-2.4	-5.3	-3.7	985.7	3	5	-7.6
08.12.2017	-4.9	-6.5	-5.8	995.5	2	0	-9.3
09.12.2017	0.2	-6.5	-2.1	995.3	3	1	-5.8
10.12.2017	1.8	-1.3	0.1	993.4	3	0	-3.3
11.12.2017	2.8	0.1	1.6	989.1	4	3	-2.3
12.12.2017	1.2	-1.1	0.1	995.7	2	1	-2.7
13.12.2017	2.6	0.4	1.9	993.8	3	1	-1.3
14.12.2017	3.9	0.1	1.8	991.2	2	20	-0.7
15.12.2017	4.0	1.2	3.1	992.9	3	14	0.1
16.12.2017	4.8	0.3	2.3	994.1	4	1	-1.5
17.12.2017	5.1	1.7	4.1	994.5	4	12	0.6
18.12.2017	1.1	-0.5	0.2	1001.1	2	16	-2.6
19.12.2017	0.5	-0.5	0.2	1000.2	2	7	-2.6
20.12.2017	0.6	-0.4	0.0	1009.5	1	0	-2.2
21.12.2017	-0.2	-1.7	-0.9	1007.6	1	2	-3.2
22.12.2017	-2.7	-7.2	-4.2	997.6	1	2	-6.8
23.12.2017	-3.9	-7.9	-4.7	989.7	2	1	-8.1
24.12.2017	-1.2	-4.4	-2.6	968.5	5	3	-7.7
25.12.2017	-2.0	-5.9	-3.4	977.7	3	1	-7.4
26.12.2017	2.6	-8.1	-1.8	988.2	3	2	-5.5
27.12.2017	2.0	1.1	1.6	987.9	3	0	-1.7
28.12.2017	1.5	0.7	1.0	994.3	1	1	-1.0
29.12.2017	3.7	0.8	2.7	1001.4	3	0	-0.4
30.12.2017	2.0	-0.1	0.9	998.8	4	0	-3.1
31.12.2017	0.3	-0.2	-0.1	995.0	2	1	-2.9
